2019-11-04 14:42:00.2055 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 15:03:35.2994 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 15:03:37.2143 | WARN | 0, Culture=neutral, PublicKeyToken=null]][] | Detected Long Running Request: "GetHomeQuery" (1914 milliseconds) "ArchitecturePrimer.Application.Home.Queries.GetHomeQuery"
2019-11-04 15:03:49.0797 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 15:06:59.4920 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : No request values
2019-11-04 15:07:01.7629 | WARN | 0, Culture=neutral, PublicKeyToken=null]][] | Detected Long Running Request: "GetHomeQuery" (2274 milliseconds) "No request values"
2019-11-04 15:19:04.3965 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : No request values
2019-11-04 15:19:28.4637 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : No request values
2019-11-04 15:19:28.8387 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : No request values
2019-11-04 15:19:29.1948 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : No request values
2019-11-04 15:19:29.4491 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : No request values
2019-11-04 15:19:29.5458 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : No request values
2019-11-04 15:19:29.6905 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : No request values
2019-11-04 15:19:29.8440 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : No request values
2019-11-04 15:19:29.9767 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : No request values
